query_id,query,tool_labels,city,difficulty
CH000001,a repulojegy mar megvan nem lesz autom parizs varosaban; hogyan jarjak; i need somewhere good to eat in paris,restaurant|transport,Paris,indirect_noisy
CH000002,I already have flights. Brief me before I arrive in Vilnius.,location,Vilnius,indirect_noisy
CH000003,Find me a table worth booking in Helsinki.,restaurant,Helsinki,indirect_noisy
CH000004,A repülőjegy már megvan. Gyors helyi eligazítást kérek Bologna városáról. Hová ülnél be enni Bologna városában?,location|restaurant,Bologna,indirect_noisy
CH000005,I need somewhere good to eat in Sarajevo.; I need a roof over my head in Sarajevo.,hotel|restaurant,Sarajevo,indirect_noisy
CH000006,Az időzítés rugalmas. Még nincs hol aludnom Amsterdam városában.,hotel,Amsterdam,indirect_noisy
CH000007,"A repülőjegy már megvan. Mi a legegyszerűbb módja, hogy bejárjam Amsterdam városát?; What would you not skip in Amsterdam?",attractions|transport,Amsterdam,indirect_noisy
CH000008,Most leszek ott először. Kellene egy jó hely enni Hamburg városában.,restaurant,Hamburg,indirect_noisy
CH000009,Brief me before I arrive in Istanbul.; I need somewhere good to eat in Istanbul.,location|restaurant,Istanbul,indirect_noisy
CH000010,Should I pack an umbrella for Oslo?,weather,Oslo,indirect_noisy
CH000011,Milyen alapinformációkat tudjak Luxembourg városáról? / Kellene egy bázis Luxembourg városában az éjszakákra.,hotel|location,Luxembourg,indirect_noisy
CH000012,Find me a table worth booking in Budapest.,restaurant,Budapest,indirect_noisy
CH000013,Legyen praktikus. Hová ülnél be enni Prága városában? Mivel töltenél el egy délutánt Prága városában?,attractions|restaurant,Prague,indirect_noisy
CH000014,Gyors helyi eligazítást kérek Prága városáról. / Kabát vagy esernyő legyen nálam Prága városában?,location|weather,Prague,indirect_noisy
CH000015,Kevés csomaggal megyek Brief me before I arrive in Munich / Kabát vagy esernyő legyen nálam München városában,location|weather,Munich,indirect_noisy
CH000016,Most leszek ott először. Mivel töltenél el egy délutánt Brussels városában?,attractions,Brussels,indirect_noisy
CH000017,"Kevés csomaggal megyek. Hol vacsoráznál Helsinki városában?; What practical facts should I know about Helsinki?; Mi a legegyszerűbb módja, hogy bejárjam Helsinki városát?",location|restaurant|transport,Helsinki,indirect_noisy
CH000018,I'm flexible on timing. Give me the local basics before I land in Sarajevo.,location,Sarajevo,indirect_noisy
CH000019,I'm trying to travel light. I still need somewhere to sleep in Porto.,hotel,Porto,indirect_noisy
CH000020,Keep it practical. Where would you actually go for dinner in London? I already have accommodation booked; don't search hotels.,restaurant,London,indirect_noisy
CH000021,Az időzítés rugalmas. Am I likely to get soaked in Valencia? / Hová ülnél be enni Valencia városában?,restaurant|weather,Valencia,indirect_noisy
CH000022,"Kevés csomaggal megyek. Am I likely to get soaked in Valencia? Also, Gyors helyi eligazítást kérek Valencia városáról. Also, I won't have a car in Valencia; how do I move around?",location|transport|weather,Valencia,indirect_noisy
CH000023,Fill an afternoon in Warsaw with worthwhile stops. Would outdoor plans be risky in Warsaw?,attractions|weather,Warsaw,indirect_noisy
CH000024,"Kellene egy bázis Gdansk városában az éjszakákra. Also, Nem lesz autóm Gdansk városában; hogyan járjak? Also, What would you not skip in Gdansk?",attractions|hotel|transport,Gdansk,indirect_noisy
CH000025,What would you not skip in Stockholm?,attractions,Stockholm,indirect_noisy
CH000026,This is my first time there. What's the smartest way to get around Luxembourg?,transport,Luxembourg,indirect_noisy
CH000027,Keep it practical. Give me the local basics before I land in Rome. / Give me reasons to leave the hotel in Rome. I already have accommodation booked; don't search hotels.,attractions|location,Rome,indirect_noisy
CH000028,"Mi a legegyszerűbb módja, hogy bejárjam Athens városát?",transport,Athens,indirect_noisy
CH000029,Nem lesz autóm Copenhagen városában; hogyan járjak?,transport,Copenhagen,indirect_noisy
CH000030,Az időzítés rugalmas. Nem lesz autóm Dubrovnik városában; hogyan járjak? / Még nincs hol aludnom Dubrovnik városában. / Hová ülnél be enni Dubrovnik városában?,hotel|restaurant|transport,Dubrovnik,indirect_noisy
CH000031,Érkezés előtt mik a legfontosabb helyi tudnivalók Sofia városáról?,location,Sofia,indirect_noisy
CH000032,What's the smartest way to get around Bratislava?; Should I pack an umbrella for Bratislava?; Miket néznél meg elsőként Bratislava városában?,attractions|transport|weather,Bratislava,indirect_noisy
CH000033,I already have flights. Will the weather ruin outdoor plans in Dublin?,weather,Dublin,indirect_noisy
CH000034,"most leszek ott először. i won't have a car in barcelona; how do i move around? / mi az, amit kár lenne kihagyni barcelona városában? / hová ülnél be enni barcelona városában?",attractions|restaurant|transport,Barcelona,indirect_noisy
CH000035,I'm flexible on timing. Fill an afternoon in Nice with worthwhile stops.,attractions,Nice,indirect_noisy
CH000036,I need somewhere good to eat in Rome.; What would you not skip in Rome?,attractions|restaurant,Rome,indirect_noisy
CH000037,Keep it practical. Am I likely to get soaked in Nice?,weather,Nice,indirect_noisy
CH000038,"Mi az, amit kár lenne kihagyni Marseille városában?",attractions,Marseille,indirect_noisy
CH000039,I already have flights. Will the weather ruin outdoor plans in Luxembourg?,weather,Luxembourg,indirect_noisy
