query_id,language,query,tool_labels,difficulty
RT029785,hu,"Utazást tervezek. Jó éttermeket keresek Naples városában, maximum 21 eurós étkezéssel. Emellett autó nélkül hogyan járjam be Naples városát? Továbbá mit érdemes tudnom Naples városáról indulás előtt?",location|restaurant|transport,multi
RT049760,en,Find good Indian restaurants in Paris under 27 EUR each.,restaurant,single
RT062085,en,This is a first visit. A practical question: I need food recommendations in Gdansk; keep meals below 27 EUR.,restaurant,single
RT181680,en,"For an upcoming city break, Give me dinner options in Vilnius with a budget around 60 EUR.; help me shortlist hotels in Vilnius: 3 nights, max 100 EUR/night.",hotel|restaurant,multi
RT042415,hu,"Épp összeállítom a programomat. Mutasd a metró-, busz- és bérletlehetőségeket Berlin városában. Nem szeretnék felesleges kerülőket.",transport,single
RT098047,en,"I'd like to stay fairly central. Give me destination facts for Lisbon. And find museums, parks or historic places in Lisbon. No restaurant suggestions are needed.",attractions|location,multi
RT000420,hu,"Gyors utazási kérdés: Keress szállást Zurich városában 5 éjszakára, 100 EUR/éj alatt.",hotel,single
RT058069,hu,"Még ebben a hónapban készülök. Családdal utazom. Hol lehet jót enni Innsbruck városában? Ezután számolj közlekedési keretet Innsbruck városára 10 napra. Ezután milyen idő várható Innsbruck városában 10 napig? Arra is szükségem van, hogy adj alapvető helyi tudnivalókat Innsbruck városáról.",location|restaurant|transport|weather,multi
RT142575,hu,"Jó éttermeket keresek Malta városában, maximum 21 eurós étkezéssel. És hol szálljak meg Malta városában 5 éjszakára, ha 120 EUR a napi keret?",hotel|restaurant,multi
RT219769,hu,Egyedül utazom. Utazást tervezek. Kabát vagy esernyő kell inkább Dublin városába 5 napra? Emellett jó vacsorát szeretnék Dublin városában 18 euró körül. Nem szeretnék felesleges kerülőket.,restaurant|weather,multi
RT009280,en,"I'm packing for Salzburg; what conditions should I expect for 6 days? Next, find museums, parks or historic places in Salzburg. While you're at it, find somewhere to stay in Salzburg for 6 nights under 80 EUR per night. No restaurant suggestions are needed.",attractions|hotel|weather,multi
RT030684,hu,Kulturális programokat keresek Venice városában. Emellett kell esernyőt vinnem Venice városába a következő 5 napra?,attractions|weather,multi
RT142190,en,I'm planning this for an upcoming trip. What should I see in Innsbruck?; give me dinner options in Innsbruck with a budget around 54 EUR. Please use the constraints above.,attractions|restaurant,multi
RT080841,hu,"Egy közelgő útra készülök. Szeretném rendesen megtervezni az utat. Ajánlj vacsorahelyeket Porto városában. Továbbá milyen parkok, múzeumok és történelmi helyek vannak Porto városában? Ezután mi a pénznem és az időzóna Porto városában?",attractions|location|restaurant,multi
RT075706,hu,"Még ebben a hónapban készülök. Nem gond, ha sokat kell sétálni. Nézd meg Geneva 6 napos időjárás-előrejelzését.",weather,single
RT007464,hu,Rövid városnézés lesz. Milyen tömegközlekedési bérletet érdemes venni Párizs városában 8 napra?,transport,single
RT166171,hu,Jövő héten készülök. Inkább praktikus megoldásokat keresek. Szükségem van egy jó szállásra Tallinn városában 3 éjszakára. Továbbá milyen tömegközlekedési bérletet érdemes venni Tallinn városában 3 napra?; milyen nyelvre és pénznemre készüljek Tallinn városában?,hotel|location|transport,multi
RT161358,en,I need a 6-night hotel in Thessaloniki; keep it below 220 EUR and rating 3.8+.,hotel,single
RT178261,en,"Help me plan this properly. What should I know about Florence before I arrive? And show metro, bus and pass options for Florence.; i need food recommendations in Florence; keep meals below 18 EUR. Next, i'm packing for Florence; what conditions should I expect for 8 days? I prefer practical options.",location|restaurant|transport|weather,multi
RT051933,en,I'm putting together my itinerary. Suggest somewhere good to eat in Sofia.,restaurant,single
RT221133,hu,"Egy rövid utazásra készülök. Most járok ott először. Alkalmas lesz az idő szabadtéri programokra Salzburg városában? Arra is szükségem van, hogy még nincs szállásom Salzburg városában: 9 éj, 230 EUR/éj. Első alkalommal megyek.",hotel|weather,multi
RT147475,hu,"Ezen a hétvégén készülök. Ajánlj múzeumokat és nevezetességeket Lisbon városában. Arra is szükségem van, hogy melyik országban van Lisbon, és milyen pénzt használnak?",attractions|location,multi
RT239321,hu,"Mi az ésszerű tömegközlekedési megoldás Hamburg városában? Továbbá érkezés előtt milyen helyi alapokat tudjak Hamburg városáról? Végül mi az, amit tényleg kár lenne kihagyni Hamburg városában?",attractions|location|transport,multi
RT083817,hu,"Szeretnék viszonylag központi helyeket. Hol szálljak meg Zurich városában 1 éjszakára, ha 120 EUR a napi keret? Arra is szükségem van, hogy keress seafood éttermet Zurich városában 54 EUR/fő alatt.",hotel|restaurant,multi
RT108416,en,"Estimate public transport costs in Zurich for 10 days. While you're at it, check the forecast in Zurich for my 10-day stay.",transport|weather,multi
RT087012,en,"I'm travelling with family. Help me plan this properly. Which country, currency and language should I expect in Florence? This is for a first visit.",location,single
RT125038,hu,Hol lehet jót enni Seville városában Első alkalommal megyek,restaurant,single
RT035008,hu,"ezen a hétvégén készülök. melyik országban van copenhagen, és milyen pénzt használnak?",location,single
RT211783,en,I'm putting together my itinerary. Shortlist a place to sleep in Sarajevo for 4 nights; ceiling 230 EUR nightly.,hotel,single
RT210341,hu,Egy közelgő útra készülök. Utazást tervezek. Mennyire lesz meleg vagy esős Sarajevo a 1 napos kiruccanás alatt? Legyen inkább praktikus a válasz.,weather,single
RT027607,hu,"Rugalmas programot szeretnék. Számolj közlekedési keretet London városára 9 napra. Végül keress szállást London városában 9 éjszakára, 80 EUR/éj alatt. Tartsd be a fenti kereteket.",hotel|transport,multi
RT126795,en,"I'm planning this this weekend. Help me shortlist hotels in Helsinki: 2 nights, max 80 EUR/night.",hotel,single
RT182962,hu,"Rövid városnézés lesz. Jó éttermeket keresek Innsbruck városában, maximum 33 eurós étkezéssel. Ha már itt tartunk, mivel töltenél el egy fél napot Innsbruck városában? Első alkalommal megyek.",attractions|restaurant,multi
RT083484,en,I'm travelling solo. Estimate public transport costs in Warsaw for 5 days.; find good Asian restaurants in Warsaw under 51 EUR each.; tell me the local currency and timezone for Warsaw. Please use the constraints above.,location|restaurant|transport,multi
RT208379,hu,Hol vacsorázzak Hamburg városában 39 euró körüli kerettel? Ezután vigyünk esőkabátot Hamburg városába egy 5 napos útra?,restaurant|weather,multi
RT186305,en,Help me plan this properly. How should I get around Bologna for 6 days?,transport,single
RT206522,en,Would you pack rain gear for Milan for the coming 7 days?,weather,single
RT058230,en,Check the forecast in Budapest for my 9-day stay.,weather,single
RT196483,hu,Ezen a hétvégén készülök. Rövid városnézés lesz. Mennyire lesz meleg vagy esős Krakkó a 10 napos kiruccanás alatt? Ezután mi a legegyszerűbb helyi közlekedés Krakkó városában 10 napra? Végül mutass Mediterranean helyeket Krakkó városában.,restaurant|transport|weather,multi
RT100554,en,I'm planning a trip. I'm packing for Dublin; what conditions should I expect for 2 days?,weather,single
RT109300,hu,Mit érdemes megnézni Venice városában?,attractions,single
RT074566,hu,Most járok ott először. Utazást tervezek. Autó nélkül hogyan járjam be Róma városát?,transport,single
RT161832,en,"Before I book the rest of the trip, Look for well-rated rooms in Dublin for 6 nights, preferably below 170 EUR. Next, i need practical local information about Dublin. While you're at it, will I need an umbrella in Dublin over the next 6 days?",hotel|location|weather,multi
RT176228,hu,"Épp összeállítom a programomat. Jó éttermeket keresek Luxembourg városában, maximum 51 eurós étkezéssel. Ha már itt tartunk, milyen nyelvre és pénznemre készüljek Luxembourg városában? Rövid, rangsorolt lista is elég.",location|restaurant,multi
RT199537,hu,"Rugalmas programot szeretnék. Szeretném rendesen megtervezni az utat. Foglalj össze minden fontos helyi alapinformációt Lisbon városáról. Továbbá szállás kell Lisbon városában, 1 éjszaka, legalább 4.5 értékeléssel. És tervezd meg a helyi utazásomat Lisbon városában. Étteremajánlásra nincs szükségem.",hotel|location|transport,multi
RT028674,hu,"Épp összeállítom a programomat. Mennyibe kerül a helyi közlekedés Zagreb városában 5 napra? Arra is szükségem van, hogy kulturális programokat keresek Zagreb városában.",attractions|transport,multi
RT131317,en,"I'm planning this for an upcoming trip. I'm travelling with family. Will I need an umbrella in Malta over the next 10 days? While you're at it, which country, currency and language should I expect in Malta? I also need this: find good Italian restaurants in Malta under 48 EUR each.",location|restaurant|weather,multi
RT045610,hu,Jövő héten készülök. Várható eső Cologne környékén a 9 napos utam alatt?,weather,single
RT239906,hu,"Mielőtt mindent lefoglalok, Add meg a legfontosabb gyakorlati tényeket Split városáról. Végül kérek néhány étteremötletet Split városában, lehetőleg Indian konyhával. Ezután kabát vagy esernyő kell inkább Split városába 3 napra? Arra is szükségem van, hogy mi az, amit tényleg kár lenne kihagyni Split városában?",attractions|location|restaurant|weather,multi
RT223552,en,I'm planning a trip. Give me a culture-heavy itinerary for Bucharest. I'd rather avoid unnecessary detours.,attractions,single
RT082833,hu,"Rövid városnézés lesz. Milyen hőmérsékletre és csapadékra számítsak Sofia városában? Emellett hol szálljak meg Sofia városában 9 éjszakára, ha 200 EUR a napi keret? Rövid, rangsorolt lista is elég.",hotel|weather,multi
RT213172,hu,Jövő héten készülök. Egyedül utazom. Utazást tervezek. Foglalj össze minden fontos helyi alapinformációt Róma városáról. Nem szeretnék felesleges kerülőket.,location,single
RT110869,en,"I'm planning this for a spring break. Quick travel question: Build a sightseeing list for Florence, especially museums and landmarks.",attractions,single
RT094115,en,"I'm planning this for a quick getaway. It's a short city break. Fill half a day in Bologna with attractions. Then what should I know about Bologna before I arrive? While you're at it, will I need an umbrella in Bologna over the next 9 days? This is for a first visit.",attractions|location|weather,multi
