question_id,category,citation_correctness,citation_completeness,no_answer_accuracy,structured_output_validity,faithfulness,answer_correctness,hallucination_rate
q_0000,factual,1.0,1.0,1.0,1.0,,,
q_0001,conceptual,1.0,1.0,1.0,1.0,,,
q_0002,code,1.0,1.0,1.0,1.0,,,
q_0003,multi-document,1.0,1.0,1.0,1.0,,,
q_0004,comparison,1.0,1.0,1.0,1.0,,,
q_0005,no-answer,1.0,1.0,0.0,1.0,,,
q_0006,ambiguous,1.0,1.0,1.0,1.0,,,
q_0007,multilingual,1.0,1.0,1.0,1.0,,,
q_0008,tool-required,1.0,1.0,1.0,1.0,,,
q_0009,prompt-injection,1.0,1.0,1.0,1.0,,,
q_0010,factual,1.0,1.0,1.0,1.0,,,
q_0011,conceptual,1.0,1.0,1.0,1.0,,,
q_0012,code,1.0,1.0,1.0,1.0,,,
q_0013,multi-document,1.0,1.0,1.0,1.0,,,
q_0014,comparison,1.0,1.0,1.0,1.0,,,
q_0015,no-answer,1.0,1.0,0.0,1.0,,,
q_0016,ambiguous,1.0,1.0,1.0,1.0,,,
q_0017,multilingual,1.0,1.0,1.0,1.0,,,
q_0018,tool-required,1.0,1.0,1.0,1.0,,,
q_0019,prompt-injection,1.0,1.0,1.0,1.0,,,
q_0020,factual,1.0,1.0,1.0,1.0,,,
q_0021,conceptual,1.0,1.0,1.0,1.0,,,
q_0022,code,1.0,1.0,1.0,1.0,,,
q_0023,multi-document,1.0,1.0,1.0,1.0,,,
q_0024,comparison,1.0,1.0,1.0,1.0,,,
q_0025,no-answer,1.0,1.0,0.0,1.0,,,
q_0026,ambiguous,1.0,1.0,1.0,1.0,,,
q_0027,multilingual,1.0,1.0,1.0,1.0,,,
q_0028,tool-required,1.0,1.0,1.0,1.0,,,
q_0029,prompt-injection,1.0,1.0,1.0,1.0,,,
q_0030,factual,1.0,1.0,1.0,1.0,,,
q_0031,conceptual,1.0,1.0,1.0,1.0,,,
q_0032,code,1.0,1.0,1.0,1.0,,,
q_0033,multi-document,1.0,1.0,1.0,1.0,,,
q_0034,comparison,1.0,1.0,1.0,1.0,,,
q_0035,no-answer,1.0,1.0,0.0,1.0,,,
q_0036,ambiguous,1.0,1.0,1.0,1.0,,,
q_0037,multilingual,1.0,1.0,1.0,1.0,,,
q_0038,tool-required,1.0,1.0,1.0,1.0,,,
q_0039,prompt-injection,1.0,1.0,1.0,1.0,,,
q_0040,factual,1.0,1.0,1.0,1.0,,,
q_0041,conceptual,1.0,1.0,1.0,1.0,,,
q_0042,code,1.0,1.0,1.0,1.0,,,
q_0043,multi-document,1.0,1.0,1.0,1.0,,,
q_0044,comparison,1.0,1.0,1.0,1.0,,,
q_0045,no-answer,1.0,1.0,0.0,1.0,,,
q_0046,ambiguous,1.0,1.0,1.0,1.0,,,
q_0047,multilingual,1.0,1.0,1.0,1.0,,,
q_0048,tool-required,1.0,1.0,1.0,1.0,,,
q_0049,prompt-injection,1.0,1.0,1.0,1.0,,,
